기사 제목,이모티콘 수,댓글 수,게시된 시간,기자 이름,구독 수,응원 수,이미지 title,원본기사주소
‘20억 로또’ 아파트 한채에 3만5000여명 몰렸다,"['22', '1', '4', '1', '4']",67,오후 8:30,정순우,"2,726",870,조선일보,https://n.news.naver.com/mnews/article/023/0003835274?sid=101
"'임상시험 디지털전환' 제이앤피메디, 대규모 공채…""전공 무관""","['1', '0', '0', '0', '0']",0,오후 8:30,최태범,"1,480","1,660",머니투데이,https://n.news.naver.com/mnews/article/008/0005040217?sid=101
美 레스토랑 전시회서 ‘K푸드’ 홍보,"['0', '0', '0', '0', '0']",0,오후 8:29,nul,0,0,세계일보,https://n.news.naver.com/mnews/article/022/0003934585?sid=101
"트렌드포스 ""HBM, 올해 말 D램 생산의 35% 차지""","['0', '0', '1', '0', '0']",1,오후 8:29,김수영,"1,978","1,029",노컷뉴스,https://n.news.naver.com/mnews/article/079/0003896882?sid=101
"농협, 금융소비자 권익보호를 위한 결의 다져","['0', '0', '0', '0', '0']",0,오후 8:29,한윤종,"1,228","1,498",세계일보,https://n.news.naver.com/mnews/article/022/0003934584?sid=101
"기아 EV6, 獨 자동차 전문지 평가서 폭스바겐 제쳐","['0', '0', '1', '0', '1']",1,오후 8:28,백소용,180,202,세계일보,https://n.news.naver.com/mnews/article/022/0003934583?sid=101
얼음 크기까지…코웨이 ‘초개인화’ 정수기 바람,"['0', '0', '0', '0', '0']",0,오후 8:28,박정현,215,207,서울경제,https://n.news.naver.com/mnews/article/011/0004342974?sid=101
[다큐멘토링] 그의 교지엔 반성 따윈 없었다,"['0', '0', '1', '0', '0']",1,오후 8:28,nul,0,0,더스쿠프,https://n.news.naver.com/mnews/article/665/0000003022?sid=101
연세대 기숙사 붕괴? 결함 없지만 안전 점검 실시,"['0', '0', '0', '0', '1']",0,오후 8:25,김아름,982,575,이데일리,https://n.news.naver.com/mnews/article/018/0005744269?sid=101
"현대차그룹, 서울 강남 ‘GBC’ 조감도 공개","['0', '0', '0', '0', '0']",1,오후 8:25,nul,0,0,세계일보,https://n.news.naver.com/mnews/article/022/0003934582?sid=101
서린상사 임시주총 열린다… 고려아연 ‘경영권 확보’ 한발짝,"['0', '0', '0', '0', '0']",0,오후 8:23,구특교,"1,023","2,444",동아일보,https://n.news.naver.com/mnews/article/020/0003565681?sid=101
"전북은행-농어촌공사, ESG경영 업무 협약","['0', '0', '0', '0', '0']",0,오후 8:22,이지현,249,82,KBS,https://n.news.naver.com/mnews/article/056/0011724499?sid=101
한 잔도 못 팔고 점심인데 '텅'…제주 해변 앞도 못 버틴다,"['179', '35', '356', '25', '71']","2,271",오후 8:21,박예린,"1,269","1,305",SBS,https://n.news.naver.com/mnews/article/055/0001156583?sid=101
"전북도-코스맥스, ‘바이오산업 육성’ 협약","['0', '0', '0', '0', '0']",0,오후 8:21,박웅 ,699,577,KBS,https://n.news.naver.com/mnews/article/056/0011724498?sid=101
이틀 연속 하한가 HLB…다시 등장한 교보 광클팀?,"['9', '1', '5', '1', '4']",32,오후 8:21,김진석,"2,056","1,382",머니투데이,https://n.news.naver.com/mnews/article/008/0005040216?sid=101
"""시대 역행에 날벼락"" 맹비난‥""부작용 우려도 있었지만‥""","['2', '4', '12', '0', '123']",160,오후 8:21,박소희,"1,408",795,MBC,https://n.news.naver.com/mnews/article/214/0001349701?sid=101
"익산시-동우화인켐(주), 3천억 원대 투자 협약","['0', '0', '0', '0', '0']",0,오후 8:21,진유민,408,438,KBS,https://n.news.naver.com/mnews/article/056/0011724497?sid=101
Korea's direct investment in U.S. hits 35-year high thanks to incentives,"['0', '0', '0', '0', '0']",0,오후 8:20,nul,0,0,코리아중앙데일리,https://n.news.naver.com/mnews/article/640/0000054084?sid=101
"마이크로소프트, AI기능 지원 퀄컴 칩 탑재 PC 발표","['0', '0', '0', '0', '0']",0,오후 8:18,김정아,535,129,한국경제,https://n.news.naver.com/mnews/article/015/0004986877?sid=101
"대통령실, 해외직구 대책 혼선 사과…尹, 재발방지책 지시(종합2보)","['0', '0', '0', '0', '0']",0,오후 8:16,김승욱,"1,117",992,연합뉴스,https://n.news.naver.com/mnews/article/001/0014697557?sid=101
"'전자책 72만권 유출' 알라딘, 피해 출판사에 사과‥보상 합의","['1', '0', '0', '0', '0']",0,오후 8:16,문다영,422,929,MBC,https://n.news.naver.com/mnews/article/214/0001349699?sid=101
'웰 수면' 시장도 AI 바람…코골이 막고 수면무호흡 잡고,"['8', '1', '0', '0', '0']",1,오후 8:14,박통일,769,288,MBN,https://n.news.naver.com/mnews/article/057/0001818764?sid=101
'20억 로또 원베일리' 1가구 모집에 3만 5천명 몰렸다,"['0', '0', '0', '0', '1']",1,오후 8:08,김아름,982,575,이데일리,https://n.news.naver.com/mnews/article/018/0005744266?sid=101
다이어트 산업 뒤흔드나…'비만 혁신 신약' 국내 시판 임박,"['2', '0', '0', '0', '0']",0,오후 8:07,최덕재,894,479,연합뉴스TV,https://n.news.naver.com/mnews/article/422/0000660751?sid=101
"'55층' 2동의 현대차 GBC 공개…""조속한 인허가를""","['10', '0', '0', '0', '1']",38,오후 8:07,한범수,"1,026","1,016",MBN,https://n.news.naver.com/mnews/article/057/0001818760?sid=101
야구장에 경영현장에…김승연 회장 광폭 행보 의미는,"['0', '0', '2', '1', '1']",4,오후 8:04,김종민,629,"1,857",MBN,https://n.news.naver.com/mnews/article/057/0001818758?sid=101
6월중 공매도 일부 재개되나…시장 반응 엇갈려,"['2', '0', '2', '0', '9']",36,오후 8:03,김수빈,264,367,연합뉴스TV,https://n.news.naver.com/mnews/article/422/0000660749?sid=101
"[에너지 소식] 가스공사, ‘개인정보보호 국제표준’ 인증 획득外","['0', '0', '0', '0', '0']",0,오후 8:01,송현수,"1,496","1,397",부산일보,https://n.news.naver.com/mnews/article/082/0001270806?sid=101
'KC 인증' 시스템·법령 없는데…섣부른 발표에 혼란 자초,"['0', '0', '4', '0', '8']",4,오후 8:01,김지성,"1,532","1,550",SBS,https://n.news.naver.com/mnews/article/055/0001156576?sid=101
[현장] 유모차 탄 강아지로 '견산견해'...국내 최대 펫 산업 박람회 '메가주' 가 봤더니,"['3', '0', '0', '0', '1']",1,오후 8:01,최현빈,77,78,한국일보,https://n.news.naver.com/mnews/article/469/0000802325?sid=101
"씨티 ""DRAM 칩 수요 증가…마이크론 탑픽""","['0', '0', '0', '1', '1']",0,오후 11:54,김정아,535,129,한국경제,https://n.news.naver.com/mnews/article/015/0004987425?sid=101
식당서 '잔술' 판매…무알콜 음료 주문 가능해 진다,"['0', '0', '0', '0', '0']",0,오후 11:49,박진형,801,785,연합뉴스TV,https://n.news.naver.com/mnews/article/422/0000660988?sid=101
“드디어 바닥 탈출하나”...호실적에 줄줄이 상승하는 게임주,"['0', '0', '2', '0', '2']",4,오후 11:47,김정석,"1,390","3,084",매일경제,https://n.news.naver.com/mnews/article/009/0005306812?sid=101
"강릉시, 매입임대주택 예비 입주자 모집","['0', '0', '0', '0', '0']",0,오후 11:46,김보람,208,181,KBS,https://n.news.naver.com/mnews/article/056/0011725596?sid=101
묵호항 국제여객터미널 설계 공모 선정…내년 착공,"['0', '0', '0', '0', '0']",0,오후 11:46,정상빈,508,"1,685",KBS,https://n.news.naver.com/mnews/article/056/0011725594?sid=101
"이재용 ""국제사회와 AI 악용 막겠다""","['1', '0', '3', '0', '1']",8,오후 11:46,박의명,"16,023","3,219",한국경제,https://n.news.naver.com/mnews/article/015/0004987411?sid=101
최저임금 논의 시작…쟁점은?,"['0', '0', '0', '0', '1']",11,오후 11:45,null,0,0,KBS,https://n.news.naver.com/mnews/article/056/0011725564?sid=101
"뉴욕증시, 엔비디아 실적 D-1 나스닥 반락하며 혼조세 출발","['2', '0', '0', '0', '0']",0,오후 11:45,null,0,0,연합뉴스,https://n.news.naver.com/mnews/article/001/0014700159?sid=101
이달 강원 소비자심리지수 100.7…두 달 연속 하락,"['0', '0', '0', '0', '0']",0,오후 11:45,최현서,49,84,KBS,https://n.news.naver.com/mnews/article/056/0011725590?sid=101
데이터센터 유치로 전력 활용…해결 과제 여전,"['0', '0', '0', '0', '0']",0,오후 11:44,노지영,212,170,KBS,https://n.news.naver.com/mnews/article/056/0011725589?sid=101
수요 없는 석탄화력…‘개점 휴업’ 대책 안 보인다,"['0', '0', '0', '0', '0']",0,오후 11:44,정상빈,508,"1,685",KBS,https://n.news.naver.com/mnews/article/056/0011725588?sid=101
부업 미끼로 ‘이커머스 피싱’ 기승…예방책은?,"['0', '0', '0', '0', '0']",0,오후 11:42,김진희,79,44,KBS,https://n.news.naver.com/mnews/article/056/0011725562?sid=101
치킨 가격 줄줄이 인상…“치킨 먹기 겁나요”,"['0', '0', '0', '0', '0']",0,오후 11:36,null,0,0,KBS,https://n.news.naver.com/mnews/article/056/0011725560?sid=101
"울산시, 내년도 국비사업 5건 예산 반영 요청","['0', '0', '0', '0', '0']",0,오후 11:35,박영하,259,82,KBS,https://n.news.naver.com/mnews/article/056/0011725585?sid=101
"EU, 세계 최초 'AI 규제법' 최종 확정…2026년 전면 시행","['0', '1', '0', '0', '0']",2,오후 11:33,양지윤,"2,430",862,이데일리,https://n.news.naver.com/mnews/article/018/0005745061?sid=101
‘기차여행 만들기’ 플랫폼 서비스 운영,"['0', '0', '0', '0', '0']",0,오후 11:32,박영하,259,82,KBS,https://n.news.naver.com/mnews/article/056/0011725581?sid=101
"울산시, 숙박세일페스타 참여…할인권 제공","['0', '0', '0', '0', '0']",0,오후 11:31,김계애,491,146,KBS,https://n.news.naver.com/mnews/article/056/0011725580?sid=101
"현대제철, 사내업무에 생성형 AI 도입…제철·제강 분야 첫 사례","['0', '0', '0', '0', '0']",0,오후 11:30,최태범,"1,480","1,660",머니투데이,https://n.news.naver.com/mnews/article/008/0005040822?sid=101
"옐런 ""글로벌 부유세 반대…러 동결자산 우크라에 써야""(종합)","['0', '0', '0', '0', '0']",1,오후 11:28,김계연,"1,481",747,연합뉴스,https://n.news.naver.com/mnews/article/001/0014700156?sid=101
"울산시, 주요 교차로에 ‘무정전 전원장치’ 설치","['0', '0', '0', '0', '0']",0,오후 11:27,박영하,259,82,KBS,https://n.news.naver.com/mnews/article/056/0011725578?sid=101
"뉴욕증시, 연준 관리들 연설 평가하며 혼조세 출발","['0', '0', '0', '0', '0']",0,오후 11:20,김정아,535,129,한국경제,https://n.news.naver.com/mnews/article/015/0004987405?sid=101
"中, 대만 장악해도 TSMC 라인 못써…""킬 스위치 가동""","['1', '2', '5', '0', '0']",11,오후 11:19,신윤재,"19,676","3,199",매일경제,https://n.news.naver.com/mnews/article/009/0005306808?sid=101
"이재용 ""안전·혁신·포용적 AI 개발에 적극 협력""","['0', '0', '1', '0', '1']",2,오후 11:15,최승진,"1,129",368,매일경제,https://n.news.naver.com/mnews/article/009/0005306802?sid=101
"런던발 싱가포르행 항공기, 난기류에 1명 사망…73세 英 남성(종합)","['0', '0', '1', '0', '1']",0,오후 11:07,조소영,"6,437","2,207",뉴스1,https://n.news.naver.com/mnews/article/421/0007553578?sid=101
컨테이너 운임 하이킥… 해운업계 ‘화색’·수출기업은 ‘울상’,"['0', '0', '0', '0', '1']",1,오후 11:05,채명준,413,461,세계일보,https://n.news.naver.com/mnews/article/022/0003934998?sid=101
"박수연 대표, 포브스 ‘亞 30세 이하 리더’에","['0', '0', '0', '0', '0']",0,오후 11:05,김수미,553,412,세계일보,https://n.news.naver.com/mnews/article/022/0003934997?sid=101
강원 양돈농장서 아프리카돼지열병 발생…1200마리 살처분,"['0', '0', '0', '0', '0']",0,오후 11:03,null,0,0,경향신문,https://n.news.naver.com/mnews/article/032/0003297590?sid=101
"'매파' 월러 연준 이사 ""추가 금리 인상 필요없다""","['1', '0', '1', '0', '0']",4,오후 11:03,김상윤,"2,540",903,이데일리,https://n.news.naver.com/mnews/article/018/0005745059?sid=101
“아이 낳으면 더 큰 집 이사가게 해주세요”...국민제안 1순위 정책은,"['2', '0', '6', '0', '4']",37,오후 11:01,류영욱,"1,179","1,936",매일경제,https://n.news.naver.com/mnews/article/009/0005306789?sid=101
지난해 반도체 불황 속 대중국 수출 줄고 미국 늘어,"['0', '0', '0', '0', '0']",0,오후 11:00,박지운,483,434,연합뉴스TV,https://n.news.naver.com/mnews/article/422/0000660979?sid=101
‘시세 반값 아파트’ 세종시 무순위 청약에 44만명 몰렸다,"['0', '0', '0', '0', '2']",10,오후 10:57,박성우,"1,166",747,조선비즈,https://n.news.naver.com/mnews/article/366/0000993866?sid=101
"윤 대통령 ""AI 안전·혁신·포용 조화롭게""…서울선언문 채택","['0', '0', '0', '0', '0']",3,오후 10:57,우형준,"1,237","1,921",SBS Biz,https://n.news.naver.com/mnews/article/374/0000384541?sid=101
"""단합 안 하면 생존 위험""…美 재무, EU에 대중 관세 인상 동참 주문","['0', '0', '4', '0', '0']",12,오후 10:52,권해영,"1,457",352,아시아경제,https://n.news.naver.com/mnews/article/277/0005421328?sid=101
"[속보] '음주 뺑소니' 경찰 조사 받은 김호중 ""죄인이 무슨 할말 있겠나…죄송하다""","['3', '0', '2', '1', '1']",28,오후 10:52,강홍민,"1,515",705,한경비즈니스,https://n.news.naver.com/mnews/article/050/0000075288?sid=101
치솟는 자잿값에…민간참여 공공주택 공사비 올려준다,"['0', '0', '0', '0', '0']",2,오후 10:47,박효정,679,249,연합뉴스TV,https://n.news.naver.com/mnews/article/422/0000660976?sid=101
"하드락, 스타 엔터테인먼트 인수 입찰 관여 부인…스타 주가 급락","['0', '0', '0', '0', '0']",0,오후 10:45,null,0,0,한국경제TV,https://n.news.naver.com/mnews/article/215/0001162958?sid=101
"메이시스, 비용 절감 효과로 연간 이익 전망 상향 조정","['0', '0', '0', '0', '0']",0,오후 10:45,null,0,0,한국경제TV,https://n.news.naver.com/mnews/article/215/0001162957?sid=101
"램리서치 이사회, 100억 달러 규모 자사주 매입·주식분할 승인","['0', '0', '0', '0', '0']",0,오후 10:45,null,0,0,한국경제TV,https://n.news.naver.com/mnews/article/215/0001162956?sid=101
"아스트라제네카 ""2030년까지 매출 800억 달러 목표""","['0', '0', '0', '0', '0']",0,오후 10:45,null,0,0,한국경제TV,https://n.news.naver.com/mnews/article/215/0001162955?sid=101
"파이퍼샌들러, 선노바 에너지 '중립'으로 하향...올해 주가 72% 급락","['0', '0', '0', '0', '0']",1,오후 10:45,null,0,0,한국경제TV,https://n.news.naver.com/mnews/article/215/0001162954?sid=101
'퇴사-취업' 반복하면...실업급여 '최대 50%' 삭감,"['1', '0', '26', '1', '5']",65,오후 10:45,선모은,"1,022","1,487",이코노미스트,https://n.news.naver.com/mnews/article/243/0000059812?sid=101
美 연준 인사들 금리인하 신중론…국제유가 2% 가까이 '뚝',"['1', '1', '2', '0', '1']",1,오후 10:39,양지윤,"2,430",862,이데일리,https://n.news.naver.com/mnews/article/018/0005745053?sid=101
서울 아파트 전셋값 불안...'도미노 전세난' 우려 [앵커리포트],"['0', '0', '0', '0', '2']",4,오후 10:36,null,0,0,YTN,https://n.news.naver.com/mnews/article/052/0002038409?sid=101
열흘 남은 종합소득세 신고...기타소득·경비 이중처리 주의해야,"['0', '0', '0', '0', '0']",0,오후 10:36,이승은,"1,501","1,032",YTN,https://n.news.naver.com/mnews/article/052/0002038408?sid=101
6월 경기 전망도 '먹구름'...반도체 기대감은 높아져,"['1', '0', '0', '0', '0']",0,오후 10:36,null,0,0,YTN,https://n.news.naver.com/mnews/article/052/0002038407?sid=101
"美공화 강경파 의원, 연준 폐지 법안 발의 ""인플레에 책임""","['0', '0', '0', '0', '0']",0,오후 10:32,조준형,"2,574","1,582",연합뉴스,https://n.news.naver.com/mnews/article/001/0014700077?sid=101
"스타트업 'ESG 경영' 돕는다…SBA, 참여기업 30일까지 모집","['0', '0', '0', '0', '0']",0,오후 10:30,최태범,"1,480","1,660",머니투데이,https://n.news.naver.com/mnews/article/008/0005040812?sid=101
“1년새 두배 올랐다”…활활 타오르는 ‘이것’ 뭐길래,"['0', '0', '0', '0', '0']",3,오후 10:26,홍성용,"11,021","3,916",매일경제,https://n.news.naver.com/mnews/article/009/0005306764?sid=101
강원 철원 양돈농가에서 ASF 확진,"['0', '0', '0', '0', '0']",5,오후 10:24,이현진,84,21,농민신문,https://n.news.naver.com/mnews/article/662/0000044049?sid=101
"KOMERI, ‘선박용 액체수소 실증설비 구축’ 사업 주관연구개발기관 선정","['0', '0', '0', '0', '0']",0,오후 10:21,송현수,"1,496","1,397",부산일보,https://n.news.naver.com/mnews/article/082/0001271009?sid=101
치킨값이 금값...배달비 포함하면 1마리에 3만원,"['7', '0', '3', '1', '1']",163,오후 10:19,선모은,"1,022","1,487",이코노미스트,https://n.news.naver.com/mnews/article/243/0000059811?sid=101
"IMF ""英 총선용 선심성 감세 결국 세금 부메랑"" 경고","['2', '0', '0', '0', '0']",0,오후 10:18,양지윤,"2,430",862,이데일리,https://n.news.naver.com/mnews/article/018/0005745049?sid=101
윤 대통령 “AI 안전성·포용성 확보해야”···AI 서울 정상회의 개최,"['0', '0', '0', '0', '0']",2,오후 10:16,박순봉,"4,335","2,173",경향신문,https://n.news.naver.com/mnews/article/032/0003297589?sid=101
‘시세 반값’ 세종시 로또 줍줍에 43만명 몰렸다,"['0', '0', '0', '0', '0']",2,오후 10:13,정순우,"2,726",870,조선일보,https://n.news.naver.com/mnews/article/023/0003835509?sid=101
"인구 1억 베트남, 한국식 대형마트에 홀리다 [신짜오, 베트남]","['9', '3', '54', '3', '12']",92,오후 10:09,김희원,"3,137",778,세계일보,https://n.news.naver.com/mnews/article/022/0003934982?sid=101
"한총리, 철원 아프리카돼지열병에 ""초동 방역 만전""","['0', '0', '0', '0', '0']",0,오후 10:08,홍국기,"1,784","1,276",연합뉴스,https://n.news.naver.com/mnews/article/001/0014700067?sid=101
“은퇴시간표 앞당긴 회장님에 서운했나”...하루새 주가 4.5% 떨어진 JP모건,"['0', '0', '2', '0', '0']",2,오후 10:08,안갑성,"1,945",518,매일경제,https://n.news.naver.com/mnews/article/009/0005306750?sid=101
"부산시, 이탈리아 제노바와 협력도시 협약","['0', '0', '0', '0', '0']",0,오후 10:04,이이슬,440,244,KBS,https://n.news.naver.com/mnews/article/056/0011725511?sid=101
부산 의료법인 경영 악화…자본 잠식 30곳·적자 66곳,"['0', '0', '0', '0', '0']",0,오후 10:04,이이슬,440,244,KBS,https://n.news.naver.com/mnews/article/056/0011725510?sid=101
"소상공인 진흥공단, 롯데백화점 마산점 입점업체 지원","['0', '0', '0', '0', '0']",0,오후 10:02,조미령,141,72,KBS,https://n.news.naver.com/mnews/article/056/0011725539?sid=101
"[강원도관광재단의 네이처로드]2024년, 다시 뛰는 해외 관광홍보세일즈","['0', '0', '0', '0', '0']",0,오후 10:01,이규호,278,858,강원일보,https://n.news.naver.com/mnews/article/087/0001045542?sid=101
당근마켓·번개장터서 건강기능식품 개인 거래 허용,"['0', '0', '0', '0', '0']",0,오후 10:01,이규호,278,858,강원일보,https://n.news.naver.com/mnews/article/087/0001045541?sid=101
"강원 올 1분기 주택 매매거래 6,104건","['0', '0', '0', '0', '0']",0,오후 10:01,이규호,278,858,강원일보,https://n.news.naver.com/mnews/article/087/0001045540?sid=101
애플수박 본격 출하…1인 가구 틈새시장 공략,"['0', '0', '0', '0', '0']",0,오후 10:01,null,0,0,KBS,https://n.news.naver.com/mnews/article/056/0011725493?sid=101
"AMD, 중소기업 위한 '에픽 CPU' 신제품…라인업 강화","['0', '0', '0', '0', '0']",0,오후 10:01,조민정,"1,512","2,842",이데일리,https://n.news.naver.com/mnews/article/018/0005745046?sid=101
"나만의닥터-하버드 경영대학원, 디지털헬스케어 협력 프로젝트 성료","['1', '0', '0', '0', '0']",0,오후 10:00,남미래,946,551,머니투데이,https://n.news.naver.com/mnews/article/008/0005040808?sid=101
"한전, 美 인재개발협회 '2024 베스트 어워드' 수상","['0', '0', '0', '0', '0']",0,오후 9:59,송현수,"1,496","1,397",부산일보,https://n.news.naver.com/mnews/article/082/0001271008?sid=101
대구 군위군 첨단산단 기본 계획 수립 완료,"['0', '0', '0', '0', '0']",0,오후 9:58,김도훈,475,166,KBS,https://n.news.naver.com/mnews/article/056/0011725537?sid=101
22회 수산업 경영인대회 거제서 열려…97명 수상,"['0', '0', '0', '0', '0']",0,오후 9:57,null,0,0,KBS,https://n.news.naver.com/mnews/article/056/0011725526?sid=101
강원 철원서 아프리카돼지열병 발생…48시간 이동중지,"['0', '0', '0', '0', '1']",1,오후 9:57,임하은,891,981,뉴시스,https://n.news.naver.com/mnews/article/003/0012559131?sid=101
‘기능성 보리’ 잇단 개발…곡물 소비 위축 해소될까?,"['0', '0', '0', '0', '0']",0,오후 9:55,이지현,249,82,KBS,https://n.news.naver.com/mnews/article/056/0011725486?sid=101
괴산서도 과수화상병…충북 4개 시·군 21건,"['1', '0', '0', '0', '0']",0,오후 9:55,이유진,327,"2,410",KBS,https://n.news.naver.com/mnews/article/056/0011725504?sid=101
"테슬라 주주 연합 ""머스크 560억달러 보상 패키지 반대""","['0', '0', '2', '0', '1']",1,오후 9:52,김정아,535,129,한국경제,https://n.news.naver.com/mnews/article/015/0004987371?sid=101
"지방소멸, ‘바람’이 막았다…항구도시 에스비에르의 변신","['0', '0', '0', '0', '1']",0,오후 9:50,이성현,19,10,KBS,https://n.news.naver.com/mnews/article/056/0011725454?sid=101
“산단 발목 잡을라”…‘산단 교통’ 큰 그림은?,"['0', '0', '0', '0', '0']",0,오후 9:49,윤경재,304,79,KBS,https://n.news.naver.com/mnews/article/056/0011725522?sid=101
"건설공제조합, 2023년 당기순이익 826억원…427억원 현금 배당","['0', '0', '0', '0', '0']",0,오후 9:49,서영상,"2,981","1,763",헤럴드경제,https://n.news.naver.com/mnews/article/016/0002311691?sid=101
“한화 대규모 휴양리조트 사업 편법”…“특례로 가능”,"['0', '0', '0', '0', '0']",0,오후 9:48,신익환,313,253,KBS,https://n.news.naver.com/mnews/article/056/0011725449?sid=101
합천 ‘침수원인 하천 임시도로’ 철거 시작,"['0', '0', '0', '0', '0']",0,오후 9:48,박기원,352,311,KBS,https://n.news.naver.com/mnews/article/056/0011725462?sid=101
농업도 이젠 ‘스마트’…‘밭’ 대신 ‘공장’,"['0', '0', '0', '0', '0']",0,오후 9:48,이현기,355,536,KBS,https://n.news.naver.com/mnews/article/056/0011725476?sid=101
"한 총리 ""철원 아프리카돼지열병 초동방역에 만전"" 지시(종합)","['0', '0', '0', '0', '1']",0,오후 9:47,정지형,"2,900","2,650",뉴스1,https://n.news.naver.com/mnews/article/421/0007553494?sid=101
4월 부산 단기 아르바이트 13만 명 ‘역대 최대’,"['0', '0', '0', '0', '0']",0,오후 9:47,강지아,171,103,KBS,https://n.news.naver.com/mnews/article/056/0011725458?sid=101
일자리·임금 “불만족”…청년 탈부산 가속,"['0', '0', '0', '0', '0']",1,오후 9:46,김아르,570,446,KBS,https://n.news.naver.com/mnews/article/056/0011725457?sid=101
카카오톡 이틀 연속 '먹통' 발생...정부 긴급 점검,"['0', '0', '1', '0', '0']",2,오후 9:45,최아영,899,973,YTN,https://n.news.naver.com/mnews/article/052/0002038391?sid=101
부업 미끼로 ‘이커머스 피싱’ 기승…예방책은?,"['1', '0', '0', '0', '0']",3,오후 9:44,김진희,79,44,KBS,https://n.news.naver.com/mnews/article/056/0011725432?sid=101
청주 초정에 미디어아트 전시관…“민자 400억 투입”,"['0', '0', '0', '0', '0']",0,오후 9:44,이정훈,286,285,KBS,https://n.news.naver.com/mnews/article/056/0011725444?sid=101
재생에너지 민관산학 협의체 출범…새만금 에너지단지 출구 있나?,"['0', '0', '0', '0', '0']",0,오후 9:41,조경모,248,71,KBS,https://n.news.naver.com/mnews/article/056/0011725431?sid=101
'3고 현상'에 이달 소비자 심리 5달 만에 '비관적',"['0', '0', '0', '0', '0']",0,오후 9:41,null,0,0,YTN,https://n.news.naver.com/mnews/article/052/0002038390?sid=101
"전북도, ‘2차전지 고도분석센터’ 유치","['0', '0', '1', '0', '0']",0,오후 9:41,조경모,248,71,KBS,https://n.news.naver.com/mnews/article/056/0011725426?sid=101
"한전KDN, ‘AI 기반 에너지 결합데이터 분석플랫폼’ 개발","['0', '0', '0', '0', '0']",0,오후 9:41,송현수,"1,496","1,397",부산일보,https://n.news.naver.com/mnews/article/082/0001271006?sid=101
양파 생육 장해 확산…“농업 특별 재난 선포해야”,"['0', '0', '0', '0', '0']",0,오후 9:40,유철웅,105,119,KBS,https://n.news.naver.com/mnews/article/056/0011725423?sid=101
"""올리브유로 튀긴 치킨 3천 원↑""...BBQ도 일부 가격 올린다","['4', '1', '0', '0', '4']",61,오후 9:40,오동건,386,478,YTN,https://n.news.naver.com/mnews/article/052/0002038389?sid=101
부산시 생활임금 확대 지급?…반 년째 ‘헛걸음’,"['0', '0', '0', '0', '1']",0,오후 9:39,이이슬,440,244,KBS,https://n.news.naver.com/mnews/article/056/0011725433?sid=101
‘떠다니는 특급 호텔’ 아시아 최대 크루즈 제주 입항,"['0', '0', '0', '0', '0']",0,오후 9:39,나종훈,281,296,KBS,https://n.news.naver.com/mnews/article/056/0011725446?sid=101
"보훈교육연구원, 제20회 대한민국청소년박람회 참가","['1', '0', '0', '0', '0']",0,오후 9:38,null,0,0,한국경제TV,https://n.news.naver.com/mnews/article/215/0001162950?sid=101
"철원 갈말 양돈농장 ASF 발생…1,200여 마리 매몰","['0', '0', '0', '0', '0']",1,오후 9:37,조휴연,463,319,KBS,https://n.news.naver.com/mnews/article/056/0011725420?sid=101
'AI 생성물'에 워터마크 의무화…AI 부작용 막는다,"['0', '0', '3', '0', '0']",6,오후 9:34,박상현,781,"1,028",TV조선,https://n.news.naver.com/mnews/article/448/0000459457?sid=101
"AI 반도체 훈풍 탄 램리서치, 13.6조원 규모 자사주 매입","['0', '0', '2', '0', '0']",2,오후 9:34,양지윤,"2,430",862,이데일리,https://n.news.naver.com/mnews/article/018/0005745043?sid=101
"""대화 의지 진실되지 않아""...의대생단체, 교육부 제안 거부","['2', '0', '6', '0', '1']",19,오후 9:32,선모은,"1,022","1,487",이코노미스트,https://n.news.naver.com/mnews/article/243/0000059810?sid=101
"비젠트로, 'NIPA 2024년 유망 SaaS 개발·육성 지원 사업' 최종 선정","['0', '0', '0', '0', '0']",0,오후 9:31,null,0,0,한국경제TV,https://n.news.naver.com/mnews/article/215/0001162947?sid=101
"AI웹툰 스타트업 '오노마AI', 초격차 스타트업 프로젝트 선정","['0', '0', '0', '0', '0']",0,오후 9:30,남미래,946,551,머니투데이,https://n.news.naver.com/mnews/article/008/0005040806?sid=101
[포토] 인니 경제조정장관 만난 정의선 회장과 성 김 자문,"['0', '0', '1', '0', '0']",0,오후 9:26,null,0,0,국민일보,https://n.news.naver.com/mnews/article/005/0001697715?sid=101
강원 철원서 '아프리카돼지열병' 발생…파주에 이어 4개월 만,"['0', '0', '0', '0', '0']",0,오후 9:24,임용우,918,"1,359",뉴스1,https://n.news.naver.com/mnews/article/421/0007553459?sid=101
[포토] 모션 그대로 따라하는 영상,"['0', '0', '0', '0', '0']",0,오후 9:22,null,0,0,국민일보,https://n.news.naver.com/mnews/article/005/0001697713?sid=101
"가스안전공사, ‘MZ세대 10인 위원회’ 출범","['0', '0', '0', '0', '0']",0,오후 9:21,송현수,"1,496","1,397",부산일보,https://n.news.naver.com/mnews/article/082/0001271005?sid=101
"[해양수산 소식] 인천항, ‘컨’ 물동량 역대 4월 중 최대外","['0', '0', '0', '0', '0']",0,오후 9:21,송현수,"1,496","1,397",부산일보,https://n.news.naver.com/mnews/article/082/0001271004?sid=101
소비채널 자리 잡은 ‘해외직구’ 무시한 정부…국민적 반발 자초,"['1', '0', '0', '0', '0']",2,오후 9:20,남지원,"1,431",521,경향신문,https://n.news.naver.com/mnews/article/032/0003297587?sid=101
